airportName,cityName,iso2DigitNationCode,IataCode
애들레이드 파라필드 공항,애들레이드,AU,n/a
아덴 아데 국제 공항,모가디슈,SO,MGQ
아덴 국제공항,아덴,YE,ADE
애디론댁 공항,사라낙 호수,US,SLK
아디수킵토 국제 공항,조그자카르타,ID,JOG
아디수마르모 국제공항,수라카르타,ID,SOC
아디야만 공항,아디야만,TR,ADF
아돌포 수아레스 마드리드 바라하스 공항,마드리드,ES,MAD
아두라르 투아 공항,아드라르,DZ,AZR
애크고당공항,파당 시뎀푸안,ID,AEG
아폰소 페나 국제 공항,쿠리치바,BR,CWB
아푸타라 공항,아푸타라,SB,AFT
아가디르 알 마시라 공항,아가디르,MA,AGA
아가탈라 공항,아가르탈라,IO,IXA
아가티 비행장,아가티 섬,IO,AGX
아겐 라 가렌느 공항,에이전시,FR,AGF
아그라 공항,아그라,IO,AGR
아리 공항,농업,TR,AJI
아과치카 하카리타마 공항,아과치카,CO,HAY
아과클라라 공항,아과클라라,CO,ACL
아구아스 클라라스 공항,오카나,CO,OCV
아구니 공항,아구니,JP,AGJ
아헤 공항,아헤,PF,AHE
아바즈 국제 공항,아바즈,IR,AWZ
아이링라플랍 아이록 공항,아이록,MH,AIC
아일룩 공항,아이룩 환초,MH,AIM
아인 아르나트 공항,세티프,DZ,QSF
아인 베이다 공항,우아르글라,DZ,OGX
공군 기지 호즈프룻,호스프루이트,ZA,HDS
아이투타키 공항,아이투타키,CK,AIT
아작시오 나폴레옹 보나파르트 공항,아작시오,FR,AJA
아지 프린스 투멍궁 프라노토 국제공항,사마린다,ID,AAP
아지메르 키샨가르 공항,키샨가르,IO,KQH
아카누 이비암 국제공항,에누구,NG,ENU
아키오크 공항,아키옥,US,AKK
아키아착 공항,아키아차크,US,KKI
아키악 공항,아키악,US,AKI
아키타 공항,아키타,JP,AXT
아클라비크 공항,아클라빅,CA,LAK
아콜라 공항,아콜라,IO,AKD
애크런 캔턴 공항,애크런,US,CAK
악수 공항,악수,CN,AKU
악타우 공항,악타우,KZ,SCO
악티온 국립 공항,프레베자-레프카다,GR,PVK
악토베 공항,악토베,KZ,AKX
아쿨리비크 공항,아쿨리빅,CA,AKV
아쿠레 공항,아쿠레,NG,AKR
아쿠레이리 공항,아쿠레이리,IS,AEY
아쿠탄 공항,아쿠탄,US,KQA
알 아브라크 국제공항,바이다,LY,LAQ
알아사 국제공항,호푸프,SA,HOF
알 아인 국제공항,알아인,AE,AAN
알 알라마인 국제공항,엘 알라메인,EG,DBB
알 바틴 이그제큐티브 공항,아부다비,AE,AZI
알 디와니야 공항,알카디시야,IQ,n/a
알가이다 공항,알 가야다,YE,AAY
알 함라 수상비행기 기지,알함라,AE,RHR
알 자우프 국내선 공항,사카카,SA,AJF
알 막툼 국제 공항,두바이,AE,DWC
알 나자프 국제 공항,알 나자프,IQ,NJF
알 카디시야/디와니야 공항,알-디와니야,IQ,n/a
알 카이수마/하프르 알 바틴 공항,카이수마-하파르 알-바틴,SA,AQI
알 와즈 국내선 공항,알 와즈,SA,EJH
알라카누크 공항,알라카눅,US,AUK
앨라모고도 화이트 샌즈 공항,알라모고르도,US,ALM
알라르 탈리무 공항,알라르,CN,ACF
알바세테 공항,알바세테,ES,ABC
알바하 알아키크 공항,알바하,SA,ABT
알바노 마차도 공항,우암보,AO,NOV
올버니 공항,올버니,AU,ALH
올버니 국제 공항,올버니,US,ALB
알버니 밸리 지역공항,포트 알버니,CA,YPB
앨버트 J. 엘리스 공항,잭슨빌,US,OAJ
알버트 피카르디 공항,앨버트,FR,BYF
알베르토 알콜룸브레 국제공항,마카파,BR,MCP
알베르토 카르네발리 공항,메리다,VE,MRD
알브룩 국제공항,파나마 시티,PA,PAC
앨버커키 국제 선포트 공항,앨버커키,US,ABQ
앨버리 공항,앨버리,AU,ABX
알칸타리 공항,수크레,BO,SRE
알단 공항,알단,RU,ADH
올더니 공항,올더니,GG,ACI
알레그레테 공항,알레그레테,BR,ALQ
알레한드로 벨라스코 아스테테 국제공항,쿠스코,PE,CUZ
알렉나직 공항,알렉나기크,US,WKK
알레포 국제 공항,알레포,SY,ALP
올레순비그라 공항,올레순,NO,AES
알렉산드라 비행장,알렉산드라,NZ,ALR
알렉산드리아 국제 공항,알렉산드리아,US,AEX
알렉산드로폴리 공항,알렉산드로폴리,GR,AXD
알페레스 FAP 다비드 피게로아 페르난디니 공항,우아누코,PE,HUU
알폰소 보닐라 아라곤 국제 공항,칼리,CO,CLO
알폰소 로페스 푸마레호 공항,발레두파르,CO,VUP
알프레도 바스케스 코보 국제공항,레티시아,CO,LET
알게로 페르틸리아 공항,알게로,IT,AHO
알리 풀란 공항,알리,CN,APJ
알리 사비에 하산 굴레드 압티돈 국제공항,알리-사비에,DJ,n/a
알리칸테 엘체 공항,알리칸테,ES,ALC
앨리스 국제 공항,앨리스,US,ALI
앨리스 스프링스 공항,앨리스 스프링스,AU,ASP
알리가르 공항,알리가르,IO,HRH
알리탁 수상비행기 기지,레이지 베이,US,ALZ
알라하바드 공항,알라하바드,IO,IXD
알라카켓 공항,알라카켓,US,AET
알라마 이크발 국제 공항,라호르,PK,LHE
앨러게니 카운티 공항,피츠버그,US,AGC
얼라이언스 공항,동맹,US,AIA
알마 공항,알마,CA,YTF
알마티 국제 공항,알마티,KZ,ALA
알메리아 공항,알메리아,ES,LEI
알미란테 마르코스 A. 자르 공항,트렐류,AR,REL
알미란테 파딜라 공항,리오하차,CO,RCH
알라오 공항,을 따라,IO,IXV
알로르 아일랜드 공항,알로르 섬,ID,ARD
앨피너 카운티 공항,알페나,US,APN
알파인 카스파리 시립공항,알파인,US,ALE
알타 공항,알타,NO,ALF
알타 플로레스타 공항,알타 플로레스타,BR,AFL
알타이 공항,알타이,MN,LTI
알타미라 공항,알타미라,BR,ATM
알타이 공항,알타이,CN,AAT
알토 리오 셍구에르 공항,알토 리오 센구에르,AR,ARR
앨투나 블레어 카운티 공항,알투나,US,AOO
알룰라 아바 네가 공항,메켈레,ET,MQX
바얀호트 공항,알샤 좌측 배너,CN,AXF
바단길린 공항,알샤 우기,CN,RHT
알리켈 공항,노릴스크,RU,NSK
알진탄 공항,진탄,LY,ZIS
아마도 네르보 국제공항,테픽,MX,TPQ
아마쿠사 비행장,아마쿠사,JP,AXJ
아마미 공항,아마미,JP,ASJ
아마시야 메르지폰 공항,메르지폰,TR,MZH
암발라 공항,암발라,IO,n/a
암발라베 공항,안초히히,MG,WAI
암바토마인티 공항,암바토마인티,MG,AMY
암바톤드라자카 공항,암바톤드라자카,MG,WAM
암비카푸르 다리마 공항,암비카푸르,IO,n/a
앰블러 공항,느리게 걷는 사람,US,ABL
암보로비 공항,마하장가,MG,MJN
암보셀리 공항,암보셀리,KE,ASV
암브롤라우리 공항,암브롤라우리,GE,n/a
암데르마 공항,암더마,RU,AMV
암자라스 공항,암자라스,TD,n/a
암구 공항,암구,RU,AEM
아밀카르 카브랄 국제공항,남자 이름,CV,SID
암만 민간공항,암만,JO,ADJ
아묵 베이 수상비행기 기지,아묵 베이,US,AOS
암파라 공항,암파라,LK,ADP
암라바티/벨로라 공항,암라바티,IO,n/a
암스테르담 스키폴 공항,암스테르담,NL,AMS
아나 공항,아나아,PF,AAA
아나돌루 공항,에스키세히르,TR,AOE
아나힘 레이크 공항,아나힘 호수,CA,YAA
아낙투북 패스 공항,아낙투부크 고개,US,AKP
아남브라 국제화물 공항,치누아 아체베,NG,ANA
아나파 비티아제보 공항,아나파,RU,AAQ
아톰공항,아나톰 섬,VU,AUY
안코나 팔코나라 공항,안코나,IT,AOI
안다와일라스 공항,안다우아일라스,PE,ANS
안다무카 공항,안다무카,AU,ADO
안다바도아카 공항,안다바도아카,MG,DVD
안디 젬마 공항,마삼바,ID,MXB
안딤바 토이보 야토이보 공항,온당와,NA,OND
안디잔 공항,안디잔,UZ,AZN
안도야 공항,안데네스,NO,ANX
안드레 마기 공항,코트리과수,BR,OTT
안드레스 미구엘 살라자르 공항,이슬라 데 코체,VE,ICC
앤드루스 공군기지,캠프 스프링스,US,ADW
안드로스 타운 국제공항,안드로스 타운,BS,ASD
앙가드 공항,우즈다,MA,OUD
앙가마 마라 공항,앙가마 마라,KE,ANA
앙헬 알비노 코르조 국제공항,툭스틀라 구티에레스,MX,TGZ
엔겔홀름 헬싱보리 공항,앤젤홀름,SE,AGH
앙제 루아르 공항,앙제,FR,ANE
앵글시 공항,앵글시,GB,VLY
앵글링 레이크/와페케카 공항,와페케카,CA,YAX
앙군 수상비행기 기지,앙군,US,AGN
앙굴렘 코냑 국제공항,앙굴렘,FR,ANG
카르멜로 조르당 공항,앙그라 두스 레이스,BR,GDR
아니악 공항,아니악,US,ANI
아니와 공항,아니와 섬,VU,AWD
안캉 울리푸 공항,안강,CN,AKA
앙카반드라 공항,앙카반드라,MG,JVA
앤 공항,앤,MM,VBA
안나바 라바 비타트 공항,안나바,DZ,AAE
안시 몽블랑 공항,안시,FR,NCY
아노본 공항,드팔레,GQ,NBN
안칭 티안주산 공항,안칭,CN,AQG
안산 텅아오 공항,안산,CN,AOG
안순 황궈슈 공항,안순,CN,AVA
안타 공항,와라스,PE,ATA
안탈리아 공항,안탈리아,TR,AYT
앙투안 시몽 공항,레 카이,HT,CYA
안토니오 B. 원 팻 국제공항,괌,GU,GUM
안토니오 코레이아 핀토 데 마세도 공항,라게스,BR,LAJ
안토니오 호세 데 수크레 공항,쿠마나,VE,CUM
안토니오 마세오 국제공항,산티아고 데 쿠바,CU,SCU
안토니오 나리뇨 공항,파스토,CO,PSO
안토니오 리베라 로드리게스 공항,비에케스,PR,VQS
안토니오 롤단 베탕쿠르 공항,아파트타도,CO,APO
안시라바토 공항,안탈라하,MG,ANM
안트시라베 공항,안치라베,MG,ATJ
앤트워프 국제 공항,앤트베르펜,BE,ANR
안빅 공항,안빅,US,ANV
안양공항,안양,CN,AYN
안양홍치취공항,안양,CN,HQQ
아오모리 공항,아오모리,JP,AOJ
아오스타 밸리 공항,아오스타,IT,AOT
아파타키 공항,아파타키,PF,APK
아폴로 공항,아폴로,BO,APB
애플턴 국제공항,애플턴,US,ATW
에이프릴 포인트 수상비행장,콰드라 섬,CA,YQJ
아라카티 공항,아라카티,BR,ARX
아라사투바 공항,아라사투바,BR,ARU
아라드 국제공항,아라드,RO,ARW
아라과이나 공항,아라과이나,BR,AUX
아라크 공항,아라크,IR,AJK
애런사스 카운티 공항,록포트,US,RKP
아라누카 부아리키 공항,아라누카 부아리키,KI,AAK
아라퐁가스 공항,아라퐁가스,BR,APX
아라르 국내선 공항,아라르,SA,RAE
아라라쿠아라 공항,아라라쿠아라,CO,ACR
아라라콰라 공항,아라라콰라,BR,AQA
아라리피나 공항,아라리피나,BR,JAW
아라투사 공항,아라투사,ZA,ASS
아라티카 노르드 공항,아라티카,PF,RKA
아락사 공항,아락사,BR,AAX
아락소스 공항,파트라스,GR,GPA
아르바 민치 공항,아르바 민치,ET,AMH
아르카타-유레카 공항,아르카타-유레카,US,ACV
북극 베이 공항,북극 만,CA,YAB
북극 마을 공항,북극 마을,US,ARC
아르다빌 공항,아르다빌,IR,ADU
아드모어 산업 비행장,아드모어,US,ADM
아레 외스테르순드 공항,외스터순드,SE,OSD
아렌달 공항 굴크냅,아렌달,NO,n/a
아가일 공항,아가일,AU,GYL
아가일 국제 공항,세인트 빈센트,VC,SVD
아리푸아낭 공항,아리푸아나,BR,AIR
아리케메스 공항,아리케메스,BR,AQM
아리스티데스 페레이라 국제공항,보아 비스타,CV,BVC
아칸소 국제 공항,블라이스빌,US,BYH
알링턴 시립공항,알링턴,US,n/a
아를릿 공항,아를리트,NE,RLT
아미데일 공항,아미데일,AU,ARM
아놀드 파머 공항,라트로브,US,LBE
아로파 공항,키에타,PG,KIE
아로라 아일랜드 공항,아로라에 섬,KI,AIS
아라베리 공항,아라버리,AU,AAB
아라차트 공항,안치라나나,MG,DIE
아서 나폴레옹 레이몬드 로빈슨 국제 공항,토바고,TT,TAB
아서스 타운 공항,아서스 타운,BS,ATC
아르투로 메리노 베니테스 국제 공항,산티아고,CL,SCL
아르투로 미켈레나 국제 공항,발렌시아,VE,VLN
아루아 공항,아루아,UG,RUA
아루샤 공항,아루샤,TZ,ARK
아루투아 공항,아루투아,PF,AXR
아르비아 공항,아르비아트,CA,YEK
아르비스야우르 공항,아르비드샤우르,SE,AJR
아산 이얼시 공항,아르샨,CN,YIE
아사바 국제공항,아사바,NG,ABB
아사히카와 공항,아사히카와,JP,AKJ
애슈빌 공항,애슈빌,US,AVL
아시가바트 국제공항,아슈가바트,TM,ASB
아스마라 국제공항,아스마라,ER,ASM
아소사 공항,아소사,ET,ASO
아스펜 핏킨 카운티 공항,아스펜,US,ASE
아사브 국제공항,아사브,ER,ASA
아시우트 공항,아시우트,EG,ATZ
아스토르 피아졸라 국제공항,마르 델 플라타,AR,MDQ
아스토리아 지역공항,아스토리아,US,AST
아스투리아스 공항,오비에도,ES,OVD
아스티팔라이아 아일랜드 내셔널 공항,아스티팔라이아,GR,JTY
아스완 국제공항,아스완,EG,ASW
아탐부아 할리웬 공항,아탐부아,ID,ABU
아타크 공항,아타크,YE,AXK
아테네 벤 엡스 공항,아테네,US,AHN
아테네 국제공항,아테네,GR,ATH
앗카 공항,아트카,US,AKB
아틀란가테펙 틀락스칼라 공항,아틀란가테펙,MX,n/a
애틀랜틱시티 국제공항,거인 아틀라스,US,ACY
아트마우틀루악 공항,아트모트루악,US,ATT
앳가숙 에드워드 버넬 시니어 메모리얼 공항,아트카숙,US,ATK
아타푸 국제공항,아타푸,#N/A,AOU
아타와피스캇 공항,아타와피스캇,CA,YAT
아퉁 붕수 공항,파가르 알람,ID,PXA
아투오나 공항,아투오나,PF,AUQ
아티라우 공항,아티라우,KZ,GUW
오번대학교 지역공항,오번,US,AUO
오클랜드 공항,오클랜드,NZ,AKL
아우크스부르크 공항,아우크스부르크,DE,AGB
오거스타 공항앳 부시 필드,오거스타,US,AGS
오거스타 주립공항,오거스타,US,AUG
오귀스트 조지 공항,아네가다,#N/A,NGD
아우구스토 C. 산디노 국제공항,마나과,NI,MGA
아우키 과우나루우 공항,아우키,SB,AKS
아우팔룩 공항,아우팔룩,CA,YPJ
아우르 공항,아우르 환초,MH,AUL
아우랑가바드 공항,아우랑가바드,IO,IXU
아우렐 블라이쿠 국제공항,부카레스트,RO,BBU
오리락 공항,오리악,FR,AUR
오루쿤 공항,아우루쿤,AU,AUU
오스틴 버그스트롬 국제공항,오스틴,US,AUS
오스틴 스트라우벨 국제 공항,그린 베이,US,GRB
아발론 공항,멜버른,AU,AVV
아비아도르 카를로스 캄포스 에어포트,산 마르틴 데 로스 안데스,AR,CPC
아비뇽 프로방스 공항,아비뇽,FR,AVN
아왕 공항,코타바토,PH,CBO
아와사 공항,아와사,ET,AWA
악숨 공항,악숨,ET,AXU
아얀 공항,아얀,RU,n/a
아이딘 공항,아이딘,TR,CII
에어즈락 공항,율라라,AU,AYQ
아요디아 국제공항,아요디아,IO,AYJ
아잠가르 공항,아잠가르,IO,AZH
바보 공항,바보,ID,BXB
바카체리 공항,쿠리치바,BR,BFH
바커우 국제공항,바커우,RO,BCM
바차 칸 국제 공항,페샤와르,PK,PEW
바키구알라토 연방 국제공항,쿨리아칸,MX,CUL
바코 공항,진카,ET,BCO
바콜로드 실라이 국제공항,바콜로드,PH,BCD
바다호스 공항,바다호스,ES,BJZ
바두 아일랜드 공항,바두 섬,AU,BDD
바푸샴 공항,바푸삼,CM,BFX
바그도그라 공항,바그도그라,IO,IXB
바그다드 국제 공항,바그다드,IQ,BGW
바그룽 공항,바글룽,NP,BGL
바그람 비행장,바그람,AF,OAI
바하왈푸르 공항,바하왈푸르,PK,BHV
바이아피냐 공항,푸에르토 피나,PA,BFQ
바이아스 데 우아툴코 국제공항,우아툴코,MX,HUX
바히르 다르 공항,바히르 다르,ET,BJR
바레인 국제 공항,마나마,BH,BAH
바이아 마레 공항,바이아 마레,RO,BAY
바이청 장안 공항,바이청,CN,DBC
바이도아 공항,바이도아,SO,BIB
베 코모 공항,베코모,CA,YBC
바이칼 국제 공항,울란우데,RU,UUD
바이스 바마 공항,바이스,CN,AEB
바자와 소아 공항,바자와,ID,BJW
바주라 공항,바주라,NP,BJU
바켈랄란 공항,바켈랄란,MY,BKM
베이커 레이크 공항,베이커 호수,CA,YBK
발라코보 공항,발라코보,RU,BWO
발랄래 공항,발랄라에 섬,SB,BAS
발리케시르 공항,발리케시르,TR,BZI
발리케시르 코카 세이이트 공항,에드레미트,TR,EDO
발리모 공항,발리모,PG,OPU
발카나바트 공항,발카나바트,NE,BKN
발카쉬 공항,발하쉬,KZ,BXH
밸러랫 공항,발라랏,AU,n/a
발레라 공항,발레라 가스 플랜트,AU,BBL
발리나 바이런 게이트웨이 공항,발리나,AU,BNK
발마세다 공항,발마세다,CL,BBA
벨시 국제공항,발티,MD,BZY
볼티모어/워싱턴 인터내셔널 서굿 마샬 공항,볼티모어 워싱턴,US,BWI
발루가트 공항,발루르가트,IO,RGH
뱀 공항,밤,IR,BXR
바마코 세누 국제공항,바마코,ML,BKO
바멘다 공항,바멘다,CM,BPC
바미얀 공항,밤얀,AF,BIN
반 후오이세이 공항,반 후오이세이,#N/A,HOE
반카시 공항,부투안,PH,BXU
반다르아바스 국제공항,반다르 아바스,IR,BND
반다르 렝게 공항,반다르 렌게,IR,BDH
반다라나이케 국제공항,콜롬보,LK,CMB
방고카 국제 공항,키상가니,#N/A,FKI
뱅거 국제공항,뱅거,US,BGR
방기 음포코 국제공항,방기,CF,BGF
바냐루카 국제공항,반야루카,BA,BNX
반줄 국제공항,반줄,GM,BJL
뱅크스타운 공항,뱅크스타운,AU,BWU
반누 공항,반누,PK,n/a
반타얀 공항,반타얀,PH,n/a
반유왕이 공항,바뉴왕기,ID,BWX
바오산 윈두안 공항,바오산,CN,BSD
바우터우 공항,바오터우,CN,BAV
바라마티 공항,바라마티,IO,n/a
바부다 코드링턴 공항,바부다,AG,BBQ
바르칼딘 공항,바칼딘,AU,BCI
바르셀로나 엘프라트 공항,바르셀로나,ES,BCN
바르셀로스 공항,바르셀로스,BR,BAZ
바두포스 공항,바르두포스,NO,BDU
바레일리 공항,바레일리,IO,BEK
바리 카롤 보이티와 공항,바리,IT,BRI
바리문야 공항,바리무냐,AU,BYP
바리나스 공항,바리나스,VE,BNS
바리오 공항,바리오,MY,BBN
바리살 공항,바리살,BD,BZL
바클리 공항,파두카,US,PAH
바크스데일 공군기지,보시어 시티,US,BAD
바르나울 공항,바르나울,RU,BAX
반스터블 뮤니시펄 공항,하이애니스,US,HYA
바라 공항,바라,GB,BRR
바라 두 가르사스 공항,바라 두 가르카스,BR,BPG
바레이라스 공항,바레이라스,BR,BRA
바레이리냐스 공항,바레이리냐스,BR,BRB
배로우 아일랜드 공항,배로 섬,AU,BWB
바터 아일랜드 LRRS 공항,바터 아일랜드,US,BTI
바틀렛 공항,존스버러,US,BSZ
바르톨로메 살롬 공항,푸에르토 카베요,VE,PBL
바르톨로메우 리산드로 공항,캄푸스 도스 고이타카제스,BR,CAW
바상고 음볼리아사 공항,키리,#N/A,KRZ
바산쿠스 공항,바산쿠스,#N/A,BSU
바스코 공항,바스코,PH,BSO
바스라 국제 공항,바스라,IQ,BSR
바셀 알 아사드 국제공항,라타키아,SY,LTK
바스티아 포레타 공항,바스티아,FR,BIA
바타 공항,바타,GQ,BSG
바타가이 공항,바타가이,RU,BQJ
배철러 공항,배첼러,AU,n/a
비자냐 공군기지,바틴다,IO,BUP
바트팔라탕 공항,자카르,BT,BUT
배서스트 공항,배서스트,AU,BHS
배서스트 공항,배서스트,CA,ZBF
배서스트 아일랜드 공항,배서스트 섬,AU,BRT
바켄 공항,배트켄,KG,n/a
배트맨 공항,말 당번,TR,BAL
바트나 공항,바트나,DZ,BLJ
배턴루지 메트로폴리탄 공항,배턴루지,US,BTR
보츠피오르 공항,바츠피오르드,NO,BJF
바티칼로아 국제공항,바티칼로아,LK,BTC
바투 리친 공항,바투 리신,ID,BTW
바투미 국제공항,바투미,GE,BUS
바투나 공항,바투나,SB,BPF
바우치 주립 공항,바우치,NG,BCU
바우어필드 국제 공항,포트 빌라,VU,VLI
바우루 아레알바 주립 공항,바우루,BR,JTC
바웨안 공항,바웨안,ID,BXW
바야눌 공항,바야나울,KZ,n/a
바얀콩고르 공항,바얀콩고르,MN,BYN
바얀누르 톈지타이 공항,바얀누르,CN,RLK
베이킷 공항,베이킷,RU,n/a
바중 엔양 공항,바중,CN,BZX
베어스킨 레이크 공항,베어스킨 호수,CA,XBE
보퍼트 카운티 공항,보포트 카운티,US,BFT
보베 틸레 공항,보베,FR,BVA
비버 공항,비버,US,WBQ
베두리 공항,베두리,AU,BEU
베드웰 하버 수상 비행장,베드웰 항구,CA,YBW
베기셰보 공항,니즈네캄스크,RU,NBC
베굼펫 공항,하이데라바드,IO,BPM
베이하이 푸청 공항,베이하이,CN,BHY
베이징 서우두 국제공항,베이징,CN,PEK
베이징 다싱 국제공항,베이징,CN,PKX
베이징 난위안 공항,베이징,CN,NAY
베이라 공항,베이라,MZ,BEW
베이루트 라픽 하리리 국제공항,베이루트,LB,BEY
베자 공항,베자,PT,BYJ
벨라야 고라 공항,벨라야 고라,RU,BGN
벨렘 프로타시오 데 올리베이라 공항,벨렘,BR,n/a
벨파스트 국제 공항,벨파스트,GB,BFS
벨가움 공항,벨가움,IO,IXG
벨고로트 국제 공항,벨고로드,RU,EGO
베오그라드 니콜라 테슬라 공항,베오그라드,RS,BEG
벨리즈 시티 공항,벨리즈 시티,BZ,TZA
벨라 벨라,벨라 벨라,CA,ZEL
벨라 쿨라 공항,벨라쿨라,CA,QBC
벨라리 공항,벨라리,IO,BEP
벨링햄 국제 공항,벨링햄,US,BLI
아누아 공항,벨로나 섬,SB,BNY
카를로스 드러먼드 데 안드라데 공항,벨루오리존치,BR,PLU
벨로 수르 치리비히나 공항,벨로 수르 치리비히나,MG,BMD
벨로야르스크 공항,벨로야르스키,RU,EYK
베미지 지역공항,베미지,US,BJI
벤 브루스 메모리얼 에어파크,에바데일,US,EVA
벤구리온 공항,텔아비브,IL,TLV
벤슬리만 공항,벤 슬리먼,MA,GMD
베나지어 부토 국제공항,이슬라마바드,PK,n/a
벤베큘라 공항,벤베쿨라,GB,BEB
벤더 카심 국제 공항,보사소,SO,BSA
벤디고 공항,벤디고,AU,BXG
베네디토 라세르다 공항,마카에,BR,MEA
방부공항,방부,CN,BFU
벵겔라 공항,벵겔라,AO,BUG
베니 공항,베니,#N/A,BNC
베니 멜랄 공항,베니 멜랄,MA,BEM
베냉 공항,베닌 시티,NG,BNI
베니나 국제 공항,벵가지,LY,BEN
베니토 살라스 공항,네이바,CO,NVA
벤자민 리베라 노리에가 공항,쿨레브라,PR,CPX
벤스바흐 공항,벤스바흐,PG,BSP
벤토타 리버 공항,벤토타,LK,BJT
베르베라 공항,베르베라,SO,BBO
베렌스 리버 공항,베렌스 강,CA,YBV
플레스랜드 공항,베르겐,NO,BGO
베르주라크 도르도뉴 페리고르 공항,베르제라크,FR,EGC
베를레보그 공항,베르레바그,NO,BVG
베를린 브란덴부르크 공항,베를린,DE,BER
베른 공항,베른,CH,BRN
버트 무니 공항,버트,US,BTM
베르투아 공항,베르투아,CM,BTA
베르트람 루이스 로이폴츠 소로카바 공항,소로카바,BR,SOD
베루 섬 공항,베루 섬,KI,BEZ
베리조보 공항,베료조보,RU,EZV
베살람피 공항,베살람피,MG,BPY
베슬란 공항,블라디캅카스,RU,OGZ
베델 공항,베델,US,BET
베토암바리 공항,바우바우,ID,BUW
베통 공항,베통,TH,BTZ
베틀스 공항,베틀스,US,BTT
베지어 캅 다그드 공항,베지에,FR,BZR
바드라푸르 공항,바드라푸르 찬드라가디,NP,BDP
바모 공항,바모,MM,BMO
바랏푸르 공항,바라트푸르,NP,BHR
바브나가르 공항,바브나가르,IO,BHU
보즈푸르 공항,보즈푸르,NP,BHP
부지 공항,부지,IO,BHJ
분타르 공항,쿨루,IO,KUU
비아위스토크 크리울라니 공항,비아위스토크,PL,QYY
비아리츠 페이 바스크 공항,비아리츠,FR,BIQ
비콜 국제공항,다라가,PH,DRP
비다르 공항,비다르,IO,IXX
비엔호아 공항,비엔호아,#N/A,n/a
빅 베이 수상 비행장,스튜어트 섬,CA,YIG
빅 크릭 공항,빅 크릭,US,n/a
빅 트라우트 레이크 공항,빅 트라우트 호수,CA,YTL
빅스 육군 비행장,엘파소,US,BIF
비하치 공항,비하치,BA,n/a
비지에 페이슝 공항,비제,CN,BFJ
비주 파트나이크 국제공항,부바네스와르,IO,BBI
비키니 아톨 공항,비키니 환초,MH,BII
빌라스푸르 공항,빌라스푸르,IO,PAB
빌바오 공항,빌바오,ES,BIO
빌두달루르 공항,빌두달루르,IS,BIU
빌리란 공항,빌리란,PH,n/a
빌링스 로건 국제 공항,빌링스,US,BIL
빌룬드 공항,빌룬드,DK,BLL
빌리 비숍 토론토 시티 공항,토론토,CA,YTZ
빌로엘라 공항,빌로엘라,AU,ZBL
비나카 공항,구눙시톨리,ID,GNS
빙골 공항,빙글,TR,BGG
빈툴루 공항,빈툴루,MY,BTU
비랏나가르 공항,비라트나가르,NP,BIR
버치 크릭 공항,버치 크릭,US,KBC
버즈빌 공항,버즈빌,AU,BVI
비르잔드 국제 공항,비르잔드,IR,XBJ
버밍엄 공항,버밍엄,GB,BHX
버밍엄 셔틀스워스 국제공항,버밍엄,US,BHM
비르닌 케비 국제공항,버닌 케비,NG,n/a
비르사 문다 공항,란치,IO,IXR
비샤 국내선 공항,비샤,SA,BHH
비숍 국제 공항,부싯돌,US,FNT
비스크라 공항,비스크라,DZ,BSK
비스마르크 공항,비스마르크,US,BIS
비스크 공항,비스크,RU,n/a
